Date,AMD,ANET,AVGO,COHR,EQIX,GLD,GOOG,LITE,MRVL,SNDR,VRT
2025-11-14,246.80999755859375,131.3699951171875,341.0904541015625,139.3300018310547,776.6087646484375,375.9599914550781,276.60455322265625,232.14999389648438,86.3878402709961,21.285274505615234,170.86557006835938
2025-11-17,240.52000427246094,127.26000213623047,341.27972412109375,139.07000732421875,768.0178833007812,371.6499938964844,285.2128601074219,242.07000732421875,83.3899917602539,20.60057258605957,166.54818725585938
2025-11-18,230.2899932861328,123.44999694824219,339.1383056640625,138.14999389648438,770.2816772460938,374.3500061035156,284.5736999511719,247.42999267578125,78.62342834472656,20.838729858398438,164.75929260253906
2025-11-19,223.5500030517578,124.80999755859375,353.0026550292969,142.94000244140625,760.9327392578125,374.9599914550781,292.59283447265625,268.9200134277344,81.26152801513672,20.610496520996094,170.54574584960938
2025-11-20,206.02000427246094,119.58999633789062,345.4330749511719,135.61000061035156,748.7291870117188,374.8500061035156,289.5869445800781,233.24000549316406,76.62487030029297,20.46164894104004,159.5124969482422
2025-11-21,203.77999877929688,117.43000030517578,338.83953857421875,139.50999450683594,750.5890502929688,374.2699890136719,299.2438049316406,255.58999633789062,77.3943099975586,21.48373794555664,159.7323760986328
2025-11-24,215.0500030517578,122.16999816894531,376.4485168457031,151.80999755859375,756.4968872070312,380.20001220703125,318.0382995605469,299.3599853515625,83.72975158691406,21.444046020507812,168.80682373046875
2025-11-25,206.1300048828125,125.04000091552734,383.4902648925781,148.85000610351562,744.094482421875,380.0799865722656,323.2012939453125,291.2699890136719,83.37001037597656,22.26767349243164,169.5296630859375
2025-11-26,214.24000549316406,127.6500015258789,395.9801025390625,154.0,746.3421630859375,383.1199951171875,319.8458557128906,308.2799987792969,87.65692901611328,22.35698127746582,171.9790802001953
2025-11-28,217.52999877929688,130.67999267578125,401.3485412597656,164.25999450683594,749.2265014648438,387.8800048828125,319.68603515625,325.1600036621094,89.33572387695312,22.43636703491211,179.68722534179688
2025-12-01,219.75999450683594,128.11000061035156,384.5360412597656,163.5,729.3051147460938,389.75,314.6928405761719,317.92999267578125,91.03450012207031,22.77375602722168,179.17735290527344
2025-12-02,215.24000549316406,127.22000122070312,380.0440979003906,164.88999938964844,723.4370727539062,387.239990234375,315.59161376953125,302.80999755859375,92.82321166992188,23.259992599487305,180.86695861816406
2025-12-03,217.60000610351562,127.80000305175781,379.087890625,170.9600067138672,728.7481079101562,386.8800048828125,320.1853942871094,302.9800109863281,100.1279525756836,24.976707458496094,178.8374481201172
2025-12-04,215.97999572753906,128.5500030517578,379.5062561035156,177.35000610351562,722.154052734375,387.1300048828125,317.9584045410156,327.8500061035156,98.11940002441406,25.13547706604004,182.49656677246094
2025-12-05,217.97000122070312,128.58999633789062,388.6794128417969,181.7899932861328,737.5601196289062,386.44000244140625,321.65338134765625,331.4100036621094,98.8388900756836,25.750717163085938,188.9750213623047
2025-12-08,221.11000061035156,129.11000061035156,399.4960021972656,185.86000061035156,735.9190063476562,385.4200134277344,314.2286376953125,342.55999755859375,91.93385314941406,25.77056121826172,185.5658416748047
2025-12-09,221.6199951171875,130.0399932861328,404.66522216796875,192.72999572753906,736.655029296875,387.3999938964844,317.52630615234375,360.3299865722656,88.8360824584961,25.701099395751953,178.33755493164062
2025-12-10,221.4199981689453,132.36000061035156,411.3185119628906,197.4499969482422,730.4190063476562,389.04998779296875,320.7740173339844,366.0,92.40351104736328,26.723190307617188,181.77674865722656
2025-12-11,221.42999267578125,134.38999938964844,404.7449035644531,198.5,750.0420532226562,393.239990234375,313.4791564941406,372.0899963378906,89.3656997680664,27.060579299926758,178.61749267578125
2025-12-12,210.77999877929688,124.76000213623047,358.4906005859375,178.33999633789062,746.252685546875,395.44000244140625,310.3013916015625,324.3500061035156,84.36929321289062,26.89627456665039,161.23162841796875
2025-12-15,207.5800018310547,125.88999938964844,338.4510803222656,178.4499969482422,757.2626953125,395.79998779296875,309.10223388671875,334.69000244140625,84.19941711425781,27.03568458557129,161.70152282714844
2025-12-16,209.1699981689453,126.12999725341797,339.93511962890625,175.1999969482422,754.040283203125,395.8900146484375,307.51336669921875,316.1499938964844,84.00955200195312,26.64732551574707,160.6217803955078
2025-12-17,198.11000061035156,122.36000061035156,324.7162170410156,170.44000244140625,743.825927734375,399.2900085449219,297.85015869140625,320.25,81.64125061035156,26.63736915588379,149.7943572998047
2025-12-18,201.05999755859375,124.62000274658203,328.5608215332031,175.7100067138672,740.0465698242188,398.57000732421875,303.5361633300781,337.1300048828125,84.40926361083984,26.83652687072754,154.35325622558594
2025-12-19,213.42999267578125,131.1199951171875,338.9988708496094,185.8300018310547,754.3983154296875,399.0199890136719,308.3927307128906,371.42999267578125,84.02953338623047,26.89627456665039,159.781982421875
2025-12-22,214.9499969482422,130.72999572753906,340.7352600097656,190.97999572753906,753.8114624023438,408.2300109863281,311.1108093261719,389.8800048828125,84.73902893066406,27.135263442993164,166.21044921875
2025-12-23,214.89999389648438,131.32000732421875,348.5887756347656,191.8699951171875,756.009521484375,413.6400146484375,315.457763671875,387.4100036621094,87.61695861816406,27.025726318359375,166.22042846679688
